STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,iccs,International classification of crime for statistical purposes (ICCS),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,1998,,77,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,1999,,60,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2000,,82,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2001,,70,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2002,,65,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2003,,50,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2004,,59,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2005,,54,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2006,,60,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2007,,45,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2000,,216,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2001,,282,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2002,,320,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2003,,229,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2004,,267,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2005,,221,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2006,,223,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2007,,211,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,1998,,381,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,1999,,327,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2000,,332,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2001,,308,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2002,,255,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2003,,247,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2004,,240,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2005,,196,,,,,
